Scenario,Parameter,ActualParameter,Replicate,RunIndex,Algorithm,ElapsedMs
digits,3,3,7,1,M,108.92617
digits,3,3,7,2,M,107.5069
digits,3,3,7,3,M,103.121579
digits,3,3,7,1,H,106.223039
digits,3,3,7,2,H,106.935875
digits,3,3,7,3,H,106.96936
digits,3,3,7,1,R,115.211891
digits,3,3,7,2,R,107.426014
digits,3,3,7,3,R,98.529612
digits,3,3,8,1,I,131.923719
digits,3,3,8,2,I,120.557741
digits,3,3,8,3,I,120.8392
digits,3,3,8,1,Q,125.354204
digits,3,3,8,2,Q,106.912171
digits,3,3,8,3,Q,107.636329
digits,3,3,8,1,M,110.473374
digits,3,3,8,2,M,109.508461
digits,3,3,8,3,M,111.724619
digits,3,3,8,1,H,106.745248
digits,3,3,8,2,H,107.059087
digits,3,3,8,3,H,106.174882
digits,3,3,8,1,R,110.781248
digits,3,3,8,2,R,113.661995
digits,3,3,8,3,R,114.888779
digits,4,4,1,1,I,124.641459
digits,4,4,1,2,I,116.341323
digits,4,4,1,3,I,124.216656
digits,4,4,1,1,Q,115.389644
digits,4,4,1,2,Q,112.36846
digits,4,4,1,3,Q,101.365819
digits,4,4,1,1,M,110.562091
digits,4,4,1,2,M,113.63131
digits,4,4,1,3,M,99.149207
digits,4,4,1,1,H,111.137542
digits,4,4,1,2,H,110.876475
digits,4,4,1,3,H,111.560283
digits,4,4,1,1,R,111.692875
digits,4,4,1,2,R,118.213694
digits,4,4,1,3,R,110.38149
digits,4,4,2,1,I,121.929274
digits,4,4,2,2,I,122.678795
digits,4,4,2,3,I,121.914626
digits,4,4,2,1,Q,106.845151
digits,4,4,2,2,Q,110.077354
digits,4,4,2,3,Q,110.067085
digits,4,4,2,1,M,112.003397
digits,4,4,2,2,M,112.529637
digits,4,4,2,3,M,114.142424
digits,4,4,2,1,H,109.810654
digits,4,4,2,2,H,114.194574
digits,4,4,2,3,H,109.892216
digits,4,4,2,1,R,99.057318
digits,4,4,2,2,R,112.78738
digits,4,4,2,3,R,121.531231
digits,4,4,3,1,I,121.517709
digits,4,4,3,2,I,116.348357
digits,4,4,3,3,I,129.824814
digits,4,4,3,1,Q,110.601045
digits,4,4,3,2,Q,115.044584
digits,4,4,3,3,Q,108.56268
digits,4,4,3,1,M,106.342125
digits,4,4,3,2,M,108.659567
digits,4,4,3,3,M,112.726514
digits,4,4,3,1,H,110.046817
digits,4,4,3,2,H,112.930374
digits,4,4,3,3,H,101.863783
digits,4,4,3,1,R,114.0203
digits,4,4,3,2,R,114.624428
digits,4,4,3,3,R,106.269589
digits,4,4,4,1,I,117.410677
digits,4,4,4,2,I,124.035913
digits,4,4,4,3,I,118.016589
digits,4,4,4,1,Q,107.805818
digits,4,4,4,2,Q,112.877258
digits,4,4,4,3,Q,111.588109
digits,4,4,4,1,M,104.771785
digits,4,4,4,2,M,111.665499
digits,4,4,4,3,M,107.593837
digits,4,4,4,1,H,107.126255
digits,4,4,4,2,H,107.742442
digits,4,4,4,3,H,98.374497
digits,4,4,4,1,R,106.333584
digits,4,4,4,2,R,108.967806
digits,4,4,4,3,R,114.120478
digits,4,4,5,1,I,118.884312
digits,4,4,5,2,I,106.740267
digits,4,4,5,3,I,122.314298
digits,4,4,5,1,Q,109.614937
digits,4,4,5,2,Q,109.578473
digits,4,4,5,3,Q,112.747537
digits,4,4,5,1,M,106.478294
digits,4,4,5,2,M,109.45648
digits,4,4,5,3,M,115.384111
digits,4,4,5,1,H,113.908265
digits,4,4,5,2,H,110.31583
digits,4,4,5,3,H,111.80006
digits,4,4,5,1,R,111.361125
digits,4,4,5,2,R,113.957212
digits,4,4,5,3,R,114.465372
digits,4,4,6,1,I,117.300831
digits,4,4,6,2,I,118.98155
digits,4,4,6,3,I,126.236439
digits,4,4,6,1,Q,117.014752
digits,4,4,6,2,Q,97.236576
digits,4,4,6,3,Q,112.308019
digits,4,4,6,1,M,109.954301
digits,4,4,6,2,M,109.035153
digits,4,4,6,3,M,107.506415
digits,4,4,6,1,H,112.248183
digits,4,4,6,2,H,108.726511
digits,4,4,6,3,H,111.232559
digits,4,4,6,1,R,110.51201
digits,4,4,6,2,R,111.861728
digits,4,4,6,3,R,99.344928
digits,4,4,7,1,I,116.248372
digits,4,4,7,2,I,114.818027
digits,4,4,7,3,I,114.012789
digits,4,4,7,1,Q,114.911349
digits,4,4,7,2,Q,106.506219
digits,4,4,7,3,Q,107.457475
digits,4,4,7,1,M,112.495
digits,4,4,7,2,M,108.048941
digits,4,4,7,3,M,98.290931
digits,4,4,7,1,H,108.079788
digits,4,4,7,2,H,111.286139
digits,4,4,7,3,H,107.441507
digits,4,4,7,1,R,110.249689
digits,4,4,7,2,R,112.283465
digits,4,4,7,3,R,114.022556
digits,4,4,8,1,I,124.991917
digits,4,4,8,2,I,118.465952
digits,4,4,8,3,I,122.998033
digits,4,4,8,1,Q,114.964911
digits,4,4,8,2,Q,115.03436
digits,4,4,8,3,Q,112.701882
digits,4,4,8,1,M,111.705053
digits,4,4,8,2,M,110.681452
digits,4,4,8,3,M,114.694409
digits,4,4,8,1,H,115.455036
digits,4,4,8,2,H,108.696934
digits,4,4,8,3,H,114.781115
digits,4,4,8,1,R,113.290417
digits,4,4,8,2,R,114.760646
digits,4,4,8,3,R,131.273221
digits,5,5,1,1,I,137.008328
digits,5,5,1,2,I,131.342104
digits,5,5,1,3,I,122.111287
digits,5,5,1,1,Q,112.696569
digits,5,5,1,2,Q,108.169868
digits,5,5,1,3,Q,115.443364
digits,5,5,1,1,M,108.542404
digits,5,5,1,2,M,116.691452
digits,5,5,1,3,M,111.320764
digits,5,5,1,1,H,110.675737
digits,5,5,1,2,H,113.152859
digits,5,5,1,3,H,105.050207
digits,5,5,1,1,R,113.237093
digits,5,5,1,2,R,100.391887
digits,5,5,1,3,R,114.271272
digits,5,5,2,1,I,116.417438
digits,5,5,2,2,I,123.643956
digits,5,5,2,3,I,156.228172
digits,5,5,2,1,Q,116.774074
digits,5,5,2,2,Q,110.385912
digits,5,5,2,3,Q,114.306873
digits,5,5,2,1,M,110.665824
digits,5,5,2,2,M,111.735349
digits,5,5,2,3,M,116.846008
digits,5,5,2,1,H,117.422199
digits,5,5,2,2,H,107.814752
digits,5,5,2,3,H,109.42247
digits,5,5,2,1,R,106.976132
digits,5,5,2,2,R,111.25772
digits,5,5,2,3,R,109.873172
digits,5,5,3,1,I,122.410884
digits,5,5,3,2,I,120.887896
digits,5,5,3,3,I,118.926493
digits,5,5,3,1,Q,111.947534
digits,5,5,3,2,Q,110.68499
digits,5,5,3,3,Q,113.565023
digits,5,5,3,1,M,111.38073
digits,5,5,3,2,M,111.973826
digits,5,5,3,3,M,109.118379
digits,5,5,3,1,H,111.207296
digits,5,5,3,2,H,117.888405
digits,5,5,3,3,H,123.65865
digits,5,5,3,1,R,111.353897
digits,5,5,3,2,R,116.435996
digits,5,5,3,3,R,113.575835
digits,5,5,4,1,I,119.070997
digits,5,5,4,2,I,122.773042
digits,5,5,4,3,I,123.385897
digits,5,5,4,1,Q,115.505651
digits,5,5,4,2,Q,117.270244
digits,5,5,4,3,Q,113.422693
digits,5,5,4,1,M,113.953358
digits,5,5,4,2,M,114.587484
digits,5,5,4,3,M,102.913308
digits,5,5,4,1,H,113.625228
digits,5,5,4,2,H,118.206906
digits,5,5,4,3,H,114.119261
digits,5,5,4,1,R,119.987931
digits,5,5,4,2,R,127.426061
digits,5,5,4,3,R,109.590995
digits,5,5,5,1,I,124.966266
digits,5,5,5,2,I,119.825855
digits,5,5,5,3,I,107.052958
digits,5,5,5,1,Q,99.813656
digits,5,5,5,2,Q,103.152014
digits,5,5,5,3,Q,115.290099
digits,5,5,5,1,M,111.310716
digits,5,5,5,2,M,110.396361
digits,5,5,5,3,M,126.235032
digits,5,5,5,1,H,116.850373
digits,5,5,5,2,H,114.795759
digits,5,5,5,3,H,109.910147
digits,5,5,5,1,R,99.000606
digits,5,5,5,2,R,110.192236
digits,5,5,5,3,R,110.266393
digits,5,5,6,1,I,120.612062
digits,5,5,6,2,I,124.183142
digits,5,5,6,3,I,120.195339
digits,5,5,6,1,Q,109.526481
digits,5,5,6,2,Q,110.497501
digits,5,5,6,3,Q,115.86486
digits,5,5,6,1,M,120.690365
digits,5,5,6,2,M,117.111827
digits,5,5,6,3,M,125.552886
digits,5,5,6,1,H,121.074708
digits,5,5,6,2,H,107.629501
digits,5,5,6,3,H,120.236143
digits,5,5,6,1,R,124.869726
digits,5,5,6,2,R,119.739556
digits,5,5,6,3,R,120.999747
digits,5,5,7,1,I,121.469451
digits,5,5,7,2,I,135.507562
digits,5,5,7,3,I,126.232059
digits,5,5,7,1,Q,115.059938
digits,5,5,7,2,Q,110.839242
digits,5,5,7,3,Q,116.640043
digits,5,5,7,1,M,99.000457
digits,5,5,7,2,M,107.518705
digits,5,5,7,3,M,108.822898
digits,5,5,7,1,H,116.985176
digits,5,5,7,2,H,119.930181
digits,5,5,7,3,H,108.588491
digits,5,5,7,1,R,107.753378
digits,5,5,7,2,R,109.219714
digits,5,5,7,3,R,118.466955
digits,5,5,8,1,I,132.628651
digits,5,5,8,2,I,124.75177
digits,5,5,8,3,I,140.49783
digits,5,5,8,1,Q,118.825091
digits,5,5,8,2,Q,118.725594
digits,5,5,8,3,Q,112.096655
digits,5,5,8,1,M,113.383194
digits,5,5,8,2,M,116.694603
digits,5,5,8,3,M,110.060564
digits,5,5,8,1,H,115.68975
digits,5,5,8,2,H,111.524441
digits,5,5,8,3,H,109.989266
digits,5,5,8,1,R,98.561681
digits,5,5,8,2,R,108.911537
digits,5,5,8,3,R,105.647038
digits,6,6,1,1,I,120.233032
digits,6,6,1,2,I,121.718527
digits,6,6,1,3,I,135.380597
digits,6,6,1,1,Q,112.359107
digits,6,6,1,2,Q,127.980995
digits,6,6,1,3,Q,124.350035
digits,6,6,1,1,M,120.44588
digits,6,6,1,2,M,115.541318
digits,6,6,1,3,M,152.398076
digits,6,6,1,1,H,116.416127
digits,6,6,1,2,H,107.300554
digits,6,6,1,3,H,116.280137
digits,6,6,1,1,R,99.191456
