Scenario,Parameter,Algorithm,Samples,MeanMs,StdMs,HalfWidthMs,PowerSatisfied,ActualParameterMean
duplicates,0.94,H,8,115.816143,5.432859,3.76471,True,0.94
duplicates,0.94,R,8,114.74175,1.120031,0.776127,True,0.94
duplicates,0.95,I,8,125.465582,5.131658,3.555992,True,0.95
duplicates,0.95,Q,8,116.47825,5.84725,4.051863,True,0.95
duplicates,0.95,M,8,113.220728,2.835126,1.964606,True,0.95
duplicates,0.95,H,8,115.761406,3.790953,2.626948,True,0.95
duplicates,0.95,R,8,115.824884,4.792084,3.320684,True,0.95
duplicates,0.96,I,8,125.164627,2.22054,1.538727,True,0.96
duplicates,0.96,Q,8,113.717147,2.897729,2.007987,True,0.96
duplicates,0.96,M,8,114.526896,4.349054,3.013685,True,0.96
duplicates,0.96,H,8,116.143512,3.531116,2.446894,True,0.96
duplicates,0.96,R,8,113.766534,2.541641,1.761235,True,0.96
duplicates,0.97,I,8,124.38068,3.559786,2.46676,True,0.97
duplicates,0.97,Q,8,114.73729,6.176604,4.280089,True,0.97
duplicates,0.97,M,8,113.220003,3.571182,2.474657,True,0.97
duplicates,0.97,H,8,117.451822,5.116271,3.54533,True,0.97
duplicates,0.97,R,8,116.718014,6.299959,4.365568,True,0.97
duplicates,0.98,I,12,126.807528,7.384009,4.17782,True,0.98
duplicates,0.98,Q,12,114.140667,2.203236,1.246575,True,0.98
duplicates,0.98,M,12,117.843736,10.2904,5.822235,True,0.98
duplicates,0.98,H,12,116.269279,4.251586,2.405517,True,0.98
duplicates,0.98,R,12,116.466814,3.127445,1.769486,True,0.98
duplicates,0.99,I,8,122.211525,2.137859,1.481434,True,0.99
duplicates,0.99,Q,8,112.371006,3.475227,2.408165,True,0.99
duplicates,0.99,M,8,112.320516,3.995105,2.768416,True,0.99
duplicates,0.99,H,8,112.237082,2.775151,1.923046,True,0.99
duplicates,0.99,R,8,112.103226,1.852081,1.283403,True,0.99
sortedness,0.0,I,8,125.001621,4.59239,3.182305,True,0.0
sortedness,0.0,Q,8,112.534977,2.883808,1.99834,True,0.0
sortedness,0.0,M,8,113.910447,4.664633,3.232366,True,0.0
sortedness,0.0,H,8,112.968396,3.908453,2.70837,True,0.0
sortedness,0.0,R,8,110.805806,3.30135,2.287677,True,0.0
sortedness,0.01,I,8,125.872047,4.751284,3.292411,True,0.009594
sortedness,0.01,Q,8,112.317005,2.600715,1.80217,True,0.009594
sortedness,0.01,M,8,112.41407,3.478535,2.410458,True,0.009594
sortedness,0.01,H,8,112.633661,1.821588,1.262273,True,0.009594
sortedness,0.01,R,8,112.343899,2.021613,1.40088,True,0.009594
sortedness,0.02,I,8,127.603842,2.883995,1.99847,True,0.01975
sortedness,0.02,Q,8,111.703001,2.030646,1.40714,True,0.01975
sortedness,0.02,M,8,111.2866,1.876262,1.300159,True,0.01975
sortedness,0.02,H,8,111.916795,1.747244,1.210756,True,0.01975
sortedness,0.02,R,8,111.90276,5.865471,4.064489,True,0.01975
sortedness,0.03,I,8,129.028259,5.420531,3.756167,True,0.031688
sortedness,0.03,Q,8,115.166855,6.016803,4.169355,True,0.031688
sortedness,0.03,M,8,113.651426,2.589277,1.794244,True,0.031688
sortedness,0.03,H,8,114.695393,4.465405,3.094311,True,0.031688
sortedness,0.03,R,8,114.360955,3.340227,2.314617,True,0.031688
sortedness,0.04,I,10,131.303054,2.505751,1.553052,True,0.041175
sortedness,0.04,Q,10,113.358213,3.816913,2.365703,True,0.041175
sortedness,0.04,M,10,114.80798,2.432077,1.507389,True,0.041175
sortedness,0.04,H,10,118.079216,8.984807,5.568739,True,0.041175
sortedness,0.04,R,10,115.778214,2.809728,1.741455,True,0.041175
sortedness,0.05,I,8,128.635471,3.419969,2.369874,True,0.049563
sortedness,0.05,Q,8,114.415242,2.903469,2.011964,True,0.049563
sortedness,0.05,M,8,115.674973,2.792265,1.934905,True,0.049563
sortedness,0.05,H,8,115.410339,2.985073,2.068512,True,0.049563
sortedness,0.05,R,8,112.748152,3.39018,2.349231,True,0.049563
sortedness,0.06,I,8,128.134842,3.278677,2.271966,True,0.059406
sortedness,0.06,Q,8,112.301136,2.531096,1.753928,True,0.059406
sortedness,0.06,M,8,113.711848,2.693385,1.866386,True,0.059406
sortedness,0.06,H,8,112.043923,2.324373,1.610679,True,0.059406
sortedness,0.06,R,8,111.957752,3.052154,2.114996,True,0.059406
sortedness,0.07,I,8,125.324137,2.046942,1.418432,True,0.069844
sortedness,0.07,Q,8,111.111017,2.293988,1.589623,True,0.069844
sortedness,0.07,M,8,111.740313,2.508741,1.738437,True,0.069844
sortedness,0.07,H,8,111.566711,2.247348,1.557304,True,0.069844
sortedness,0.07,R,8,112.403756,2.453799,1.700364,True,0.069844
sortedness,0.08,I,8,125.054924,2.08512,1.444888,True,0.0775
sortedness,0.08,Q,8,112.355108,4.380095,3.035195,True,0.0775
sortedness,0.08,M,8,112.101305,3.4315,2.377864,True,0.0775
sortedness,0.08,H,8,112.477925,1.523477,1.055696,True,0.0775
sortedness,0.08,R,8,111.694135,1.156622,0.801483,True,0.0775
sortedness,0.09,I,8,124.605534,4.847801,3.359293,True,0.089938
sortedness,0.09,Q,8,112.704958,2.406299,1.667449,True,0.089938
sortedness,0.09,M,8,110.777513,2.425549,1.680789,True,0.089938
sortedness,0.09,H,8,113.165094,3.228428,2.237145,True,0.089938
sortedness,0.09,R,8,110.653606,3.196418,2.214964,True,0.089938
sortedness,0.1,I,8,127.542267,3.242459,2.246868,True,0.102969
sortedness,0.1,Q,8,112.948268,2.472469,1.713302,True,0.102969
sortedness,0.1,M,8,112.374519,1.574244,1.090875,True,0.102969
sortedness,0.1,H,8,113.002765,2.989084,2.071292,True,0.102969
sortedness,0.1,R,8,114.547452,3.605683,2.498565,True,0.102969
sortedness,0.11,I,11,132.189046,10.559127,6.239931,True,0.10925
sortedness,0.11,Q,11,115.461099,5.308148,3.136857,True,0.10925
sortedness,0.11,M,11,117.004128,5.272056,3.115528,True,0.10925
sortedness,0.11,H,11,113.091604,2.55886,1.512162,True,0.10925
sortedness,0.11,R,11,117.060248,6.309721,3.728739,True,0.10925
sortedness,0.12,I,8,130.661269,4.055656,2.810374,True,0.118656
sortedness,0.12,Q,8,115.959144,4.510415,3.125501,True,0.118656
sortedness,0.12,M,8,115.798016,5.463151,3.785701,True,0.118656
sortedness,0.12,H,8,116.452753,4.824111,3.342877,True,0.118656
sortedness,0.12,R,8,116.066618,3.713919,2.573567,True,0.118656
sortedness,0.13,I,8,124.650381,3.930897,2.723923,True,0.131344
sortedness,0.13,Q,8,112.556212,2.369083,1.641661,True,0.131344
sortedness,0.13,M,8,113.975823,2.164792,1.500097,True,0.131344
sortedness,0.13,H,8,113.683805,7.177113,4.973394,True,0.131344
sortedness,0.13,R,8,111.687493,3.674625,2.546338,True,0.131344
sortedness,0.14,I,8,127.263518,7.217021,5.001048,True,0.136688
sortedness,0.14,Q,8,114.60768,5.461834,3.784788,True,0.136688
sortedness,0.14,M,8,113.897513,4.385999,3.039287,True,0.136688
sortedness,0.14,H,8,115.301736,5.590641,3.874045,True,0.136688
sortedness,0.14,R,8,114.255868,4.883366,3.383938,True,0.136688
sortedness,0.15,I,8,127.432771,2.89375,2.00523,True,0.147094
sortedness,0.15,Q,8,113.468704,3.825468,2.650865,True,0.147094
sortedness,0.15,M,8,112.415303,3.076501,2.131867,True,0.147094
sortedness,0.15,H,8,113.41473,3.415893,2.36705,True,0.147094
sortedness,0.15,R,8,112.928073,2.058284,1.426292,True,0.147094
sortedness,0.16,I,8,128.214645,5.010403,3.471969,True,0.158
sortedness,0.16,Q,8,115.540613,4.591915,3.181976,True,0.158
sortedness,0.16,M,8,113.833761,2.966281,2.05549,True,0.158
sortedness,0.16,H,8,116.069972,3.588158,2.486421,True,0.158
sortedness,0.16,R,8,114.095635,4.366843,3.026012,True,0.158
sortedness,0.17,I,8,130.09695,3.744042,2.594441,True,0.170781
sortedness,0.17,Q,8,115.785559,3.325406,2.304346,True,0.170781
sortedness,0.17,M,8,116.875026,3.696038,2.561177,True,0.170781
sortedness,0.17,H,8,114.26067,2.416813,1.674735,True,0.170781
sortedness,0.17,R,8,115.732569,4.591485,3.181678,True,0.170781
sortedness,0.18,I,8,130.040262,4.04573,2.803497,True,0.179625
sortedness,0.18,Q,8,113.875794,5.570713,3.860236,True,0.179625
sortedness,0.18,M,8,113.024374,3.707908,2.569402,True,0.179625
sortedness,0.18,H,8,117.094214,8.128042,5.632342,True,0.179625
sortedness,0.18,R,8,114.463506,3.244494,2.248278,True,0.179625
sortedness,0.19,I,8,127.146487,3.627674,2.513804,True,0.190375
sortedness,0.19,Q,8,114.675039,3.966959,2.748912,True,0.190375
sortedness,0.19,M,8,115.992887,5.770121,3.998417,True,0.190375
sortedness,0.19,H,8,113.133886,5.059991,3.50633,True,0.190375
sortedness,0.19,R,8,113.303815,2.579331,1.787353,True,0.190375
sortedness,0.2,I,8,127.844994,4.45193,3.084973,True,0.200094
sortedness,0.2,Q,8,112.45262,2.146944,1.487729,True,0.200094
sortedness,0.2,M,8,116.140239,7.531802,5.219177,True,0.200094
sortedness,0.2,H,8,116.14508,5.987051,4.148738,True,0.200094
sortedness,0.2,R,8,112.54049,7.421385,5.142663,True,0.200094
sortedness,0.21,I,8,130.819074,5.036554,3.490089,True,0.211438
sortedness,0.21,Q,8,114.716941,4.466047,3.094756,True,0.211438
sortedness,0.21,M,8,114.049599,3.079941,2.134251,True,0.211438
sortedness,0.21,H,8,112.708003,4.38221,3.036661,True,0.211438
