Scenario,Parameter,ActualParameter,Replicate,RunIndex,Algorithm,ElapsedMs,TimedOut
digits,3,3,8,1,I,187.716383,False
digits,3,3,8,2,I,187.162194,False
digits,3,3,8,3,I,165.405795,False
digits,3,3,8,1,Q,150.43476,False
digits,3,3,8,2,Q,124.489996,False
digits,3,3,8,3,Q,146.868706,False
digits,3,3,8,1,M,166.582807,False
digits,3,3,8,2,M,200.15996,False
digits,3,3,8,3,M,173.897988,False
digits,3,3,8,1,H,171.803872,False
digits,3,3,8,2,H,153.0402,False
digits,3,3,8,3,H,148.313131,False
digits,3,3,8,1,R,157.264182,False
digits,3,3,8,2,R,157.452578,False
digits,3,3,8,3,R,157.305942,False
digits,3,3,9,1,I,172.539031,False
digits,3,3,9,2,I,185.756577,False
digits,3,3,9,3,I,180.355886,False
digits,3,3,9,1,Q,147.794761,False
digits,3,3,9,2,Q,148.334464,False
digits,3,3,9,3,Q,157.163291,False
digits,3,3,9,1,M,154.17869,False
digits,3,3,9,2,M,151.29254,False
digits,3,3,9,3,M,147.539916,False
digits,3,3,9,1,H,142.178052,False
digits,3,3,9,2,H,147.318708,False
digits,3,3,9,3,H,146.991001,False
digits,3,3,9,1,R,137.772112,False
digits,3,3,9,2,R,136.283189,False
digits,3,3,9,3,R,138.807151,False
digits,3,3,10,1,I,158.667665,False
digits,3,3,10,2,I,173.709453,False
digits,3,3,10,3,I,173.736729,False
digits,3,3,10,1,Q,131.408295,False
digits,3,3,10,2,Q,131.776553,False
digits,3,3,10,3,Q,134.284051,False
digits,3,3,10,1,M,132.118629,False
digits,3,3,10,2,M,138.315675,False
digits,3,3,10,3,M,136.422822,False
digits,3,3,10,1,H,136.802133,False
digits,3,3,10,2,H,131.169273,False
digits,3,3,10,3,H,154.054115,False
digits,3,3,10,1,R,126.117439,False
digits,3,3,10,2,R,134.672804,False
digits,3,3,10,3,R,138.492676,False
digits,3,3,11,1,I,152.870515,False
digits,3,3,11,2,I,171.543828,False
digits,3,3,11,3,I,183.381686,False
digits,3,3,11,1,Q,133.127968,False
digits,3,3,11,2,Q,133.049899,False
digits,3,3,11,3,Q,133.292284,False
digits,3,3,11,1,M,135.018147,False
digits,3,3,11,2,M,139.103722,False
digits,3,3,11,3,M,153.351976,False
digits,3,3,11,1,H,135.895527,False
digits,3,3,11,2,H,155.228244,False
digits,3,3,11,3,H,154.233576,False
digits,3,3,11,1,R,145.476266,False
digits,3,3,11,2,R,137.440426,False
digits,3,3,11,3,R,137.081739,False
digits,3,3,12,1,I,171.743789,False
digits,3,3,12,2,I,165.722062,False
digits,3,3,12,3,I,164.580678,False
digits,3,3,12,1,Q,136.25625,False
digits,3,3,12,2,Q,138.545671,False
digits,3,3,12,3,Q,139.061617,False
digits,3,3,12,1,M,144.242681,False
digits,3,3,12,2,M,157.153267,False
digits,3,3,12,3,M,142.960997,False
digits,3,3,12,1,H,156.505204,False
digits,3,3,12,2,H,145.712719,False
digits,3,3,12,3,H,146.042609,False
digits,3,3,12,1,R,137.434863,False
digits,3,3,12,2,R,143.343558,False
digits,3,3,12,3,R,158.93943,False
digits,4,4,1,1,I,169.318748,False
digits,4,4,1,2,I,173.220144,False
digits,4,4,1,3,I,188.865283,False
digits,4,4,1,1,Q,152.719866,False
digits,4,4,1,2,Q,137.612939,False
digits,4,4,1,3,Q,147.883063,False
digits,4,4,1,1,M,172.001864,False
digits,4,4,1,2,M,165.492515,False
digits,4,4,1,3,M,139.970018,False
digits,4,4,1,1,H,145.656384,False
digits,4,4,1,2,H,137.656181,False
digits,4,4,1,3,H,151.420529,False
digits,4,4,1,1,R,153.705042,False
digits,4,4,1,2,R,141.040876,False
digits,4,4,1,3,R,138.357499,False
digits,4,4,2,1,I,164.39806,False
digits,4,4,2,2,I,169.812795,False
digits,4,4,2,3,I,184.452328,False
digits,4,4,2,1,Q,154.789293,False
digits,4,4,2,2,Q,154.510166,False
digits,4,4,2,3,Q,154.072811,False
digits,4,4,2,1,M,137.206491,False
digits,4,4,2,2,M,158.16518,False
digits,4,4,2,3,M,154.555078,False
digits,4,4,2,1,H,149.410546,False
digits,4,4,2,2,H,155.255158,False
digits,4,4,2,3,H,154.455212,False
digits,4,4,2,1,R,141.17104,False
digits,4,4,2,2,R,136.901597,False
digits,4,4,2,3,R,167.310731,False
digits,4,4,3,1,I,184.159763,False
digits,4,4,3,2,I,168.918809,False
digits,4,4,3,3,I,192.817961,False
digits,4,4,3,1,Q,143.748098,False
digits,4,4,3,2,Q,138.028453,False
digits,4,4,3,3,Q,152.879833,False
digits,4,4,3,1,M,135.538434,False
digits,4,4,3,2,M,158.17402,False
digits,4,4,3,3,M,131.374353,False
digits,4,4,3,1,H,136.173273,False
digits,4,4,3,2,H,150.694803,False
digits,4,4,3,3,H,146.849653,False
digits,4,4,3,1,R,163.048591,False
digits,4,4,3,2,R,133.776779,False
digits,4,4,3,3,R,146.913975,False
digits,4,4,4,1,I,190.278729,False
digits,4,4,4,2,I,162.441746,False
digits,4,4,4,3,I,153.945813,False
digits,4,4,4,1,Q,147.688488,False
